016_NAB_id_16_Environment_tr_1816_1st_3540.csv,{'AUC-PR': 0.12270859895169288, 'AUC-ROC': 0.5231250926486084, 'VUS-PR': 0.13602864828735686, 'VUS-ROC': 0.5306596860821464, 'Standard-F1': 0.2079246159540443, 'PA-F1': 0.7350253807106599, 'Event-based-F1': 0.2809917355371898, 'R-based-F1': 0.15530097386250497, 'Affiliation-F': 0.6560903547720695}
017_NAB_id_17_Synthetic_tr_1007_1st_1805.csv,{'AUC-PR': 0.13908789386401327, 'AUC-ROC': 0.5169475945905576, 'VUS-PR': 0.15566245559548483, 'VUS-ROC': 0.5307912475995354, 'Standard-F1': 0.2363294856306382, 'PA-F1': 0.7642585551330798, 'Event-based-F1': 0.2954545454545452, 'R-based-F1': 0.18415714215031417, 'Affiliation-F': 0.6895608802502107}
018_NAB_id_18_Facility_tr_500_1st_669.csv,{'AUC-PR': 0.12380475594493116, 'AUC-ROC': 0.5394714623438027, 'VUS-PR': 0.18132868049644543, 'VUS-ROC': 0.5803328541208609, 'Standard-F1': 0.1991507491722797, 'PA-F1': 0.7315175097276264, 'Event-based-F1': 0.31683168316831656, 'R-based-F1': 0.1869221096234929, 'Affiliation-F': 0.7028953961008463}
019_NAB_id_19_Facility_tr_1007_1st_1171.csv,{'AUC-PR': 0.15340833333333334, 'AUC-ROC': 0.5475961538461539, 'VUS-PR': 0.18759361862714796, 'VUS-ROC': 0.5702094332731074, 'Standard-F1': 0.23529204154080993, 'PA-F1': 0.7789678675754625, 'Event-based-F1': 0.3914209115281498, 'R-based-F1': 0.20205651841727582, 'Affiliation-F': 0.7342618971631395}
020_NAB_id_20_Synthetic_tr_1007_1st_2679.csv,{'AUC-PR': 0.2083816425120773, 'AUC-ROC': 0.5039597687495051, 'VUS-PR': 0.22450947932374332, 'VUS-ROC': 0.5162074464666239, 'Standard-F1': 0.34299632977357264, 'PA-F1': 0.8414634146341463, 'Event-based-F1': 0.3606557377049177, 'R-based-F1': 0.17323122122190915, 'Affiliation-F': 0.6845014460575095}
022_NAB_id_22_Facility_tr_1007_1st_2980.csv,{'AUC-PR': 0.20223076923076921, 'AUC-ROC': 0.5535049627791563, 'VUS-PR': 0.23702676475107823, 'VUS-ROC': 0.573774041230959, 'Standard-F1': 0.29545202739749377, 'PA-F1': 0.8373590982286635, 'Event-based-F1': 0.4924623115577885, 'R-based-F1': 0.23970855267506558, 'Affiliation-F': 0.753793671215399}
023_NAB_id_23_Facility_tr_4512_1st_16551.csv,{'AUC-PR': 0.22175085770414693, 'AUC-ROC': 0.6885783211674015, 'VUS-PR': 0.22375976653094867, 'VUS-ROC': 0.6896838982220835, 'Standard-F1': 0.4150184956335479, 'PA-F1': 0.7418633540372671, 'Event-based-F1': 0.5606765327695555, 'R-based-F1': 0.21711089447546247, 'Affiliation-F': 0.8397965075238949}
024_NAB_id_24_Synthetic_tr_1007_1st_2787.csv,{'AUC-PR': 0.19280181936322288, 'AUC-ROC': 0.5443240523235444, 'VUS-PR': 0.2123059186989036, 'VUS-ROC': 0.5577264193288134, 'Standard-F1': 0.29205557595579884, 'PA-F1': 0.8294260307194826, 'Event-based-F1': 0.45758354755784025, 'R-based-F1': 0.19645289739923297, 'Affiliation-F': 0.7525550849075605}
025_NAB_id_25_WebService_tr_3958_1st_4614.csv,{'AUC-PR': 0.10642960998973658, 'AUC-ROC': 0.49822861410597674, 'VUS-PR': 0.11220215861530622, 'VUS-ROC': 0.5027304315791983, 'Standard-F1': 0.19291644983915898, 'PA-F1': 0.7042567416982394, 'Event-based-F1': 0.18738518064911186, 'R-based-F1': 0.1245232651086185, 'Affiliation-F': 0.6815541704759459}
026_NAB_id_26_Traffic_tr_624_1st_2261.csv,{'AUC-PR': 0.16912498905141454, 'AUC-ROC': 0.527286353180372, 'VUS-PR': 0.18366308700495015, 'VUS-ROC': 0.5350404087786185, 'Standard-F1': 0.273632400237062, 'PA-F1': 0.8048359240069085, 'Event-based-F1': 0.3756906077348063, 'R-based-F1': 0.18733100191080507, 'Affiliation-F': 0.7190248873581256}
027_NAB_id_27_Facility_tr_757_1st_2582.csv,{'AUC-PR': 0.10750000000000001, 'AUC-ROC': 0.5277777777777778, 'VUS-PR': 0.12881606234437978, 'VUS-ROC': 0.54136939262462, 'Standard-F1': 0.18181652894064598, 'PA-F1': 0.7017543859649122, 'Event-based-F1': 0.2608695652173911, 'R-based-F1': 0.15550755939524838, 'Affiliation-F': 0.7053523109887585}
028_NAB_id_28_Facility_tr_1007_1st_3447.csv,{'AUC-PR': 0.1436744186046512, 'AUC-ROC': 0.5013573432268573, 'VUS-PR': 0.15790840090304292, 'VUS-ROC': 0.5106467348165581, 'Standard-F1': 0.25072667002912513, 'PA-F1': 0.7706093189964157, 'Event-based-F1': 0.2558139534883718, 'R-based-F1': 0.16777956890075843, 'Affiliation-F': 0.6923519436728047}
029_WSD_id_1_WebService_tr_4559_1st_10201.csv,{'AUC-PR': 0.0035757386135073527, 'AUC-ROC': 0.6617828749462829, 'VUS-PR': 0.008759048134665156, 'VUS-ROC': 0.7648482383629749, 'Standard-F1': 0.01259272338346229, 'PA-F1': 0.029511918274687854, 'Event-based-F1': 0.01270207852193994, 'R-based-F1': 0.010404022888850355, 'Affiliation-F': 0.6886625336594556}
030_WSD_id_2_WebService_tr_4499_1st_4599.csv,{'AUC-PR': 0.011680699136736652, 'AUC-ROC': 0.6553467743663359, 'VUS-PR': 0.042599121369079854, 'VUS-ROC': 0.8163397286215265, 'Standard-F1': 0.04013284636071497, 'PA-F1': 0.09534127843986999, 'Event-based-F1': 0.04133180252583233, 'R-based-F1': 0.027200346774351156, 'Affiliation-F': 0.7513672831731514}
032_WSD_id_4_WebService_tr_4559_1st_11822.csv,{'AUC-PR': 0.009937888198757764, 'AUC-ROC': 0.7006647278770254, 'VUS-PR': 0.02323815911849549, 'VUS-ROC': 0.8072971492898869, 'Standard-F1': 0.032063507548130435, 'PA-F1': 0.0631163708086785, 'Event-based-F1': 0.03258655804480648, 'R-based-F1': 0.026828818868619868, 'Affiliation-F': 0.6995968093967735}
